"SILICON VALLEY BANK - BUSINESS CHECKING ****4417 - ACME SAAS INC"
"Statement export generated 10/02/2026 09:14 PT"
""
"Posting Date","Description","Reference","Debit","Credit","Running Balance"
"06/30/2026","AMAZON WEB SERVICES AWS.AMAZON.CO WA  (MAY USAGE)","ACH-88120","28,000.00","","612,440.00"
"07/01/2026","BEGINNING BALANCE","","","","584,440.00"
"07/01/2026","GOOGLE *GSUITE / SLACK / GITHUB - AMEX EPAYMENT","ACH-88201","6,500.00","","577,940.00"
"07/01/2026","WEWORK 500 3RD ST RENT JUL","ACH-88202","12,000.00","","565,940.00"
"07/05/2026","AMAZON WEB SERVICES AWS.AMAZON.CO WA","ACH-88230","28,000.00","","537,940.00"
"07/15/2026","WIRE IN GLOBEX CORPORATION REF:ANNUAL PLAN FY27","FW-11873","","50,000.00","587,940.00"
"07/20/2026","ONLINE TRANSFER FROM SAVINGS ****9920","XFER-5512","","25,000.00","612,940.00"
"07/31/2026","GUSTO PAYROLL NET+TAX 073126","ACH-88291","201,000.00","","411,940.00"
"08/01/2026","STRIPE TRANSFER ST-J8K2 (JUL PAYOUT NET OF FEES+REFUNDS)","ACH-88300","","394,000.00","805,940.00"
"08/01/2026","GOOGLE *GSUITE / SLACK / GITHUB - AMEX EPAYMENT","ACH-88301","6,500.00","","799,440.00"
"08/01/2026","WEWORK 500 3RD ST RENT AUG","ACH-88302","12,000.00","","787,440.00"
"08/05/2026","AMAZON WEB SERVICES AWS.AMAZON.CO WA","ACH-88330","28,000.00","","759,440.00"
"08/12/2026","APPLE STORE BUSINESS - MACBOOK PRO X4 (CAPEX)","CARD-4417","12,000.00","","747,440.00"
"08/14/2026","SVB TERM LOAN DRAWDOWN #2","LN-0042","","100,000.00","847,440.00"
"08/20/2026","GOOGLE ADS 8812-221-0098","ACH-88361","45,000.00","","802,440.00"
"08/31/2026","GUSTO PAYROLL NET+TAX 083126","ACH-88391","201,000.00","","601,440.00"
"09/01/2026","STRIPE TRANSFER ST-P1Q9 (AUG PAYOUT NET OF FEES+REFUNDS)","ACH-88400","","408,000.00","1,009,440.00"
"09/01/2026","GOOGLE *GSUITE / SLACK / GITHUB - AMEX EPAYMENT","ACH-88401","6,500.00","","1,002,940.00"
"09/01/2026","WEWORK 500 3RD ST RENT SEP","ACH-88402","12,000.00","","990,940.00"
"09/02/2026","WIRE IN INITECH LLC INV-2026-118","FW-11990","","35,000.00","1,025,940.00"
"09/05/2026","AMAZON WEB SERVICES AWS.AMAZON.CO WA","ACH-88430","28,000.00","","997,940.00"
"09/15/2026","IRS USATAXPYMT EFTPS 1120-ES Q3","EFT-7781","30,000.00","","967,940.00"
"09/18/2026","LINKEDIN ADS LNKD.IN/BILL","ACH-88461","38,000.00","","929,940.00"
"09/25/2026","COOLEY LLP / PILOT.COM ACCOUNTING","ACH-88470","15,000.00","","914,940.00"
"09/28/2026","SVB TERM LOAN PMT P+I","LN-0043","9,500.00","","905,440.00"
"09/30/2026","STRIPE TRANSFER ST-X4V7 (SEP PAYOUT NET OF FEES+REFUNDS)","ACH-88500","","423,000.00","1,328,440.00"
"09/30/2026","GUSTO PAYROLL NET+TAX 093026","ACH-88591","201,000.00","","1,127,440.00"
"09/30/2026","ONLINE TRANSFER TO RESERVE ****7713 (BOARD-APPROVED OPERATING RESERVE)","XFER-5601","18,000.00","","1,109,440.00"
"09/30/2026","ENDING BALANCE","","","","1,109,440.00"
"10/01/2026","WEWORK 500 3RD ST RENT OCT","ACH-88602","12,000.00","","1,097,440.00"
""
"Pending transactions are not included. Amounts in USD."
